channel_title,country,max_likes
PrinceRoyceVEVO,FR,163626
PrinceRoyceVEVO,CA,163626
TWICE JAPAN OFFICIAL YouTube Channel,CA,163376
League of Legends,CA,163263
LadyGagaVEVO,GB,162995
Samsung,CA,162871
RomanAtwoodVlogs,US,162747
Ryan Reynolds,DE,162221
JunsKitchen,CA,162209
Alan Walker,GB,162188
The Game Theorists,CA,161914
Jason Derulo,CA,161842
HaileeSteinfeldVEVO,CA,161692
SiaVEVO,US,161177
Charlie Puth,CA,161115
Pilipinas Got Talent,CA,160917
Famous Dex,GB,160821
Macklemore LLC,GB,160541
SEB,FR,160345
Philip DeFranco,CA,160246
ScatterBrain News,US,159414
Call of Duty,DE,158996
Atlantic Records,CA,158844
KBS World TV,US,158766
BBC Radio 1,CA,158593
League of Legends,DE,158581
BBC Radio 1,US,158372
Hobbie Stuart,GB,157961
NIXBLACK,FR,157933
Speed Records,FR,157850
Speed Records,DE,157850
littlemixVEVO,GB,157779
Познаватель,DE,157762
Domics,CA,157620
TinasheOfficialVEVO,US,157423
SabrinaCarpenterVEVO,GB,157372
NFL,CA,157205
jacksfilms,DE,157163
Hayley Kiyoko,US,156175
SZAVEVO,GB,155775
Tibo InShape,FR,155685
Tibo InShape,CA,155685
ShawnMendesVEVO,US,155370
KygoOfficialVEVO,US,155328
The Action Lab,US,155010
LastWeekTonight,CA,154985
Hamza Namira Official,DE,154610
The Game Theorists,DE,154397
Warner Bros. Pictures,FR,154282
Сыендук,DE,154228
